Grapheme	IPA
ttʰ	tʰː
ʈʈʰ	ʈʰː
ɽʰ	ɽʰ
ʃʰ	ʃʰ
é	e
í	i
ó	o
ɡʲ	gʲ
gʲ	gʲ
pá́la_kene	p a l a _ k e n e
á	a
_$	NULL
ə	ə
i	i
u	u
ɑ	ɑ
n	n
e	e
r	r
m	m
o	o
j	j
d	d
h	h
k	k
l	l
ɪ	ɪ
ʋ	ʋ
b	b
t	t
ɡ	g
p	p
š	ʃ
tt	tː
s	s
ɖ	ɖ
u:	uː
ɑ:	ɑː
ɛ	ɛ
ŋ	ŋ
pp	pː
ʈʈ	ʈː
ɽ	ɽ
ǰ	dʒ
i:	iː
ɔ	ɔ
z	z
ʊ	ʊ
kk	kː
č	tʃ
nn	nː
mm	mː
ʈ	ʈ
dd	dː
ll	lː
a	a
v	v
tʰ	tʰ
kʰ	kʰ
rs	r s
ʈʰ	ʈʰ
ẽ	ẽ
c	c
ks	k s
ii	iː
zz	zː
čʰ	tʃʰ
n:	nː
dh	dʱ
y	y
ksh	k ʃ
g	g
bb	bː
kʃ	k ʃ
ns	n s
_	+
dʰ	dʰ
ú	u
-$	NULL
^-	NULL
--	+
_-	+
-_	+
 ̌coɲɑ̃	
kʃʰ	k ʃʰ
ɑː	ɑː
s:	sː
eː	eː
ɘ̀	ɘ
sː	sː
G	g
K	k
cʱ	cʰ
aˈ◌	a
aʰ	a
ć	c
uː	uː
t́	t
r̄	r
ʊ'	u
i'	i
bʰ	bʰ
eʰ	e
ɖʰ	ɖʰ
ɡʰ	gʰ
gʰ	gʰ
ɑʰ	ɑ
jʰ	jʰ
ɟʰ	ɟʰ
iʰ	i
sʰ	sʰ
hʰ	h
zʰ	z
oʰ	o
a͂	a
-	+
ɘ	ɘ
ɹ	ɹ
ɛʰ	ɛ
uʰ	u
ʌ	ʌ
ʃ	ʃ
ʧ	tʃ
ɲ	ɲ
ɳ	ɳ
ʦ	ts
ɟ	ɟ
ɨ	ɨ
ʤ	dʒ
?	NULL
χ	χ
ʒ	ʒ
ɭ	ɭ
à	a
ʉ	ʉ
ɯ	ɯ
ɣ	ɣ
ʂ	ʂ
ã	ã
æ	æ
ɒ	ɒ
ʔ	ʔ
ñ	ɲ
θ	θ
õ	õ
ì	i
ɕ	ɕ
ū	u
ṭ	t
ũ	ũ
ā	a
!	!
ī	i
ṣ	s
ð	ð
ǣ	æ
ʀ	ʀ
f	f
w	w
ĩ	ĩ
x	x
pʰ	pʰ
ɨ:	ɨː
ɪ:	ɪː
ə̃	ə̃
ɑ̃	ɑ̃
cʰ	cʰ
nʰ	nʰ
ɛ̃	ɛ̃
j̃	j̃
e:	eː
t'	tʼ
ɔ̃	ɔ̃
ó:	oː
ɛ́	ɛ́
ɛ:	ɛː
ɑ́	ɑ́
ú:	uː
r̃	r̃
ɔ́	ɔ́
ɔ:	ɔː
ɛ̃:	ɛ̃ː
o:	oː
t͡s	ts
t̃	t̃
ɪ̃	ɪ̃
ɑ̃:	ɑ̃ː
æ̃	æ̃
ḷ	ɭ
ɘ:	ɘː
n̥	n̥
m̥	m̥
ɲ̥	ɲ̊
_-_	+
__	+
ɘ́	ɘ́
a:	aː
l̥	l̥
ɹ̥	ɹ̥
ǝ	ə
