ID	Name	Glottocode	ISO639P3code	Latitude	Longitude	Family	Sources	Base
Wambule	Wambule	wamb1257	wme	27.15	86.48	Tibeto-Burman (Kiranti)	FW2023	
Yakkha	Yakkha	yakk1236	ybh	27.37	87.93	Tibeto-Burman (Kiranti)	FW2023	
Sunwar	Sunwar	sunw1242	suz	27.52	86.25	Tibeto-Burman (Kiranti)	FW2023	
Jerung	Jerung	jeru1240	jee	27.17	86.25	Tibeto-Burman (Kiranti)	FW2023	
Khaling	Khaling	khal1275	klr	27.39	87.51	Tibeto-Burman (Kiranti)	FW2023
Athpariya	Athpariya	athp1242	aph	26.88	87.33	Tibeto-Burman (Kiranti)	FW2024
Chintang	Chintang	chhi1245	ctn	26.96	87.19	Tibeto-Burman (Kiranti)	FW2024
Dungmali	Dungmali	dung1252	raa	26.98	87.33	Tibeto-Burman (Kiranti)	FW2024
Chhulung	Chhulung	chhu1238	cur	26.91	87.21	Tibeto-Burman (Kiranti)	FW2024
Lohorung	Lohorung	nort2727	lbr	27.51	87.22	Tibeto-Burman (Kiranti)	FW2024
Mewahang	Mewahang	mewa1252	emg	27.51	87.11	Tibeto-Burman (Kiranti)	FW2024
Mugali	Mugali	mugo1238	muk	29.59	82.45	Tibeto-Burman 	FW2024
Phangduwali	Phangduwali	phan1256	phw	27.16	87.35	Tibeto-Burman (Kiranti)	FW2024
Tilung	Tilung	tilu1238	tij	27.22	86.47	Tibeto-Burman (Kiranti)	FW2024
Yamphu	Yamphu	yamp1242	ybi	27.63	87.04	Tibeto-Burman (Kiranti)	FW2024
Balti	Balti	balt1258	bft	34.45	77.29	Tibeto-Burman 	Dr. Konchok Tashi
Brokskad	Brokskad	brok1249	bro	27.65	90.65	Indo-Aryan	Dr. Konchok Tashi
Belhare	Belhare	belh1239	byw	27	87.28	Tibeto-Burman (Kiranti)	FW2024
Limbu	Limbu	limb1266	lif	27.27	87.89	Tibeto-Burman (Kiranti)	FW2024
