ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Comment,Base,Sources
Spiti,Spiti,spit1240,Spiti Bhoti,spt,Eurasia,32.53,77.83,Sino-Tibetan,,Decimal,mephd2021
Ladakhi,Ladakhi,lada1244,Leh Ladakhi,lbj,Eurasia,33.47,80.6,Sino-Tibetan,,Decimal,mephd2021
Khoibu,Khoibu,khoi1251,Khoibu,nkb,Eurasia,24.2,94.13,Sino-Tibetan,,Decimal,mephd2021
Ao_1,Ao_1,aona1235,Ao Naga,njo,Eurasia,26.32,94.38,Sino-Tibetan,,Decimal,mephd2021
Ao_2,Ao_2,aona1235,Ao Naga,njo,Eurasia,26.32,94.38,Sino-Tibetan,,,FW2023
Adi,Adi,bori1243,Bori-Karko,adi,Eurasia,27.63,94.35,Sino-Tibetan,,Decimal,mephd2021
Bodo,Bodo,bodo1269,Bodo-Mech,brx,Eurasia,26.1,92,Sino-Tibetan,,Decimal,mephd2021
Meiteilon,Meiteilon,meit1246,Meitei,mni,Eurasia,,,Sino-Tibetan,,Vigesimal,mephd2021
Thangal,Thangal,than1255,Thangal Naga,nki,Eurasia,25.35,93.84,Sino-Tibetan,,Decimal,mephd2021
Tangkhul,Tangkhul,tang1336,East-Central Tangkhul Naga,nmf,Eurasia,25.05,94.36,Sino-Tibetan,,Decimal,mephd2021
Tinkarlo,Tinkar lo,byan1241,Byangsi,,Eurasia,29.9002,80.63,Sino-Tibetan,,Mixed,mephd2021
Lotha_1,Lotha_1,loth1237,Lotha Naga,njh,Eurasia,26.01,94.04,Sino-Tibetan,,Decimal,mephd2021
Lotha_2,Lotha_2,loth1237,Lotha Naga,njh,Eurasia,26.01,94.04,Sino-Tibetan,,,FW2023
Rongmei,Rongmei,rong1266,Rongmei Naga,nbu,Eurasia,25.1,93.79,Sino-Tibetan,,Decimal,mephd2021
Angami,Angami,anga1288,Angami Naga,njm,Eurasia,25.68,93.87,Sino-Tibetan,,Decimal,mephd2021
Jad,Jad,jadd1243,Jad,jda,Eurasia,30.24,79.15,Sino-Tibetan,,Decimal,mephd2021
Bhoti,Bhoti,stod1241,Stod Bhoti,sbu,Eurasia,32.5,77.12,Sino-Tibetan,,Decimal,mephd2021
Thadou,Thadou,thad1238,Thado Chin,tcz,Eurasia,24.1,93.72,Sino-Tibetan,,Decimal,mephd2021
Mao,Mao,maon1238,Mao Naga,nbi,Eurasia,25.38,94,Sino-Tibetan,,Decimal,mephd2021
Hajong,Hajong,hajo1238,Hajong,haj,Eurasia,25.51,89.86,Indo-Aryan,,Decimal,ager2018
