ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,NumeralAnalysis
Spiti-17_seventeen-1,,Spiti,17_seventeen,tʃupdʉn,tʃupdʉn,t ʃ u p d ʉ n,,mephd2021,,,^ t ʃ u p d ʉ n $,default,
Spiti-18_eighteen-1,,Spiti,18_eighteen,tʃupɡjɛ,tʃupɡjɛ,t ʃ u p g j ɛ,,mephd2021,,,^ t ʃ u p ɡ j ɛ $,default,
Spiti-19_nineteen-1,,Spiti,19_nineteen,tʃurɡu,tʃurɡu,t ʃ u r g u,,mephd2021,,,^ t ʃ u r ɡ u $,default,
Spiti-20_twenty-1,,Spiti,20_twenty,nɨʃu,nɨʃu,n ɨ ʃ u,,mephd2021,,,^ n ɨ ʃ u $,default,
Spiti-21_twentyone-1,,Spiti,21_twentyone,nɨʃusəʃik,nɨʃusəʃik,n ɨ ʃ u s ə ʃ i k,,mephd2021,,,^ n ɨ ʃ u s ə ʃ i k $,default,
Spiti-22_twentytwo-1,,Spiti,22_twentytwo,nɨʃusɛnɨ,nɨʃusɛnɨ,n ɨ ʃ u s ɛ n ɨ,,mephd2021,,,^ n ɨ ʃ u s ɛ n ɨ $,default,
Spiti-23_twentythree-1,,Spiti,23_twentythree,nɨʃusəksum,nɨʃusəksum,n ɨ ʃ u s ə k s u m,,mephd2021,,,^ n ɨ ʃ u s ə ks u m $,default,
Spiti-24_twentyfour-1,,Spiti,24_twentyfour,nɨʃusɔdʒi,nɨʃusɔdʒi,n ɨ ʃ u s ɔ d ʒ i,,mephd2021,,,^ n ɨ ʃ u s ɔ d ʒ i $,default,
Spiti-25_twentyfive-1,,Spiti,25_twentyfive,nɨʃusɛŋã,nɨʃusɛŋã,n ɨ ʃ u s ɛ ŋ ã,,mephd2021,,,^ n ɨ ʃ u s ɛ ŋ ã $,default,
Spiti-26_twentysix-1,,Spiti,26_twentysix,nɨʃusɛruk,nɨʃusɛruk,n ɨ ʃ u s ɛ r u k,,mephd2021,,,^ n ɨ ʃ u s ɛ r u k $,default,
Spiti-27_twentyseven-1,,Spiti,27_twentyseven,nɨʃusəbdʉn,nɨʃusəbdʉn,n ɨ ʃ u s ə b d ʉ n,,mephd2021,,,^ n ɨ ʃ u s ə b d ʉ n $,default,
Spiti-28_twentyeight-1,,Spiti,28_twentyeight,nɨʃusəbɡjɛ,nɨʃusəbɡjɛ,n ɨ ʃ u s ə b g j ɛ,,mephd2021,,,^ n ɨ ʃ u s ə b ɡ j ɛ $,default,
Spiti-29_twentynine-1,,Spiti,29_twentynine,nɨʃusərɡu,nɨʃusərɡu,n ɨ ʃ u s ə r g u,,mephd2021,,,^ n ɨ ʃ u s ə r ɡ u $,default,
Spiti-30_thirty-1,,Spiti,30_thirty,sumdzu,sumdzu,s u m d z u,,mephd2021,,,^ s u m d z u $,default,
Spiti-31_thirtyone-1,,Spiti,31_thirtyone,sumdzusɔʃik,sumdzusɔʃik,s u m d z u s ɔ ʃ i k,,mephd2021,,,^ s u m d z u s ɔ ʃ i k $,default,
Spiti-32_thirtytwo-1,,Spiti,32_thirtytwo,sumdzusɛnɨ,sumdzusɛnɨ,s u m d z u s ɛ n ɨ,,mephd2021,,,^ s u m d z u s ɛ n ɨ $,default,
Spiti-33_thirtythree-1,,Spiti,33_thirtythree,sumdzusɔksum,sumdzusɔksum,s u m d z u s ɔ k s u m,,mephd2021,,,^ s u m d z u s ɔ ks u m $,default,
Spiti-34_thirtyfour-1,,Spiti,34_thirtyfour,sumdzusɔdʒi,sumdzusɔdʒi,s u m d z u s ɔ d ʒ i,,mephd2021,,,^ s u m d z u s ɔ d ʒ i $,default,
Spiti-35_thirtyfive-1,,Spiti,35_thirtyfive,sumdzusɛŋã,sumdzusɛŋã,s u m d z u s ɛ ŋ ã,,mephd2021,,,^ s u m d z u s ɛ ŋ ã $,default,
Spiti-36_thirtysix-1,,Spiti,36_thirtysix,sumdzusɛruk,sumdzusɛruk,s u m d z u s ɛ r u k,,mephd2021,,,^ s u m d z u s ɛ r u k $,default,
Spiti-37_thirtyseven-1,,Spiti,37_thirtyseven,sumdzusɔbdʉn,sumdzusɔbdʉn,s u m d z u s ɔ b d ʉ n,,mephd2021,,,^ s u m d z u s ɔ b d ʉ n $,default,
Spiti-38_thirtyeight-1,,Spiti,38_thirtyeight,sumdzusɔbɡjɛ,sumdzusɔbɡjɛ,s u m d z u s ɔ b g j ɛ,,mephd2021,,,^ s u m d z u s ɔ b ɡ j ɛ $,default,
Spiti-39_thirtynine-1,,Spiti,39_thirtynine,sumdzusɔrɡu,sumdzusɔrɡu,s u m d z u s ɔ r g u,,mephd2021,,,^ s u m d z u s ɔ r ɡ u $,default,
Spiti-40_forty-1,,Spiti,40_forty,dʒiptʃu,dʒiptʃu,d ʒ i p t ʃ u,,mephd2021,,,^ d ʒ i p t ʃ u $,default,
Spiti-41_fortyone-1,,Spiti,41_fortyone,dʒiptʃusjəʃik,dʒiptʃusjəʃik,d ʒ i p t ʃ u s j ə ʃ i k,,mephd2021,,,^ d ʒ i p t ʃ u s j ə ʃ i k $,default,
Spiti-42_fortytwo-1,,Spiti,42_fortytwo,dʒiptʃusjɛnɨ,dʒiptʃusjɛnɨ,d ʒ i p t ʃ u s j ɛ n ɨ,,mephd2021,,,^ d ʒ i p t ʃ u s j ɛ n ɨ $,default,
Spiti-43_fortythree-1,,Spiti,43_fortythree,dʒiptʃusəksum,dʒiptʃusəksum,d ʒ i p t ʃ u s ə k s u m,,mephd2021,,,^ d ʒ i p t ʃ u s ə ks u m $,default,
Spiti-44_fortyfour-1,,Spiti,44_fortyfour,dʒiptʃusɔdʒi,dʒiptʃusɔdʒi,d ʒ i p t ʃ u s ɔ d ʒ i,,mephd2021,,,^ d ʒ i p t ʃ u s ɔ d ʒ i $,default,
Spiti-45_fortyfive-1,,Spiti,45_fortyfive,dʒiptʃusɛŋã,dʒiptʃusɛŋã,d ʒ i p t ʃ u s ɛ ŋ ã,,mephd2021,,,^ d ʒ i p t ʃ u s ɛ ŋ ã $,default,
Spiti-46_fortysix-1,,Spiti,46_fortysix,dʒiptʃusɛruk,dʒiptʃusɛruk,d ʒ i p t ʃ u s ɛ r u k,,mephd2021,,,^ d ʒ i p t ʃ u s ɛ r u k $,default,
Spiti-47_fortyseven-1,,Spiti,47_fortyseven,dʒiptʃusəbdʉn,dʒiptʃusəbdʉn,d ʒ i p t ʃ u s ə b d ʉ n,,mephd2021,,,^ d ʒ i p t ʃ u s ə b d ʉ n $,default,
Spiti-48_fortyeight-1,,Spiti,48_fortyeight,dʒiptʃusəbɡjɛ,dʒiptʃusəbɡjɛ,d ʒ i p t ʃ u s ə b g j ɛ,,mephd2021,,,^ d ʒ i p t ʃ u s ə b ɡ j ɛ $,default,
Spiti-49_fortynine-1,,Spiti,49_fortynine,dʒiptʃusərgu,dʒiptʃusərgu,d ʒ i p t ʃ u s ə r g u,,mephd2021,,,^ d ʒ i p t ʃ u s ə r g u $,default,
Spiti-50_fifty-1,,Spiti,50_fifty,ŋə̃ptʃu,ŋə̃ptʃu,ŋ ə̃ p t ʃ u,,mephd2021,,,^ ŋ ə̃ p t ʃ u $,default,
Spiti-51_fiftyone-1,,Spiti,51_fiftyone,ŋə̃ptʃuŋɛʃik,ŋə̃ptʃuŋɛʃik,ŋ ə̃ p t ʃ u ŋ ɛ ʃ i k,,mephd2021,,,^ ŋ ə̃ p t ʃ u ŋ ɛ ʃ i k $,default,
Spiti-52_fiftytwo-1,,Spiti,52_fiftytwo,ŋə̃ptʃuŋɛnɨ,ŋə̃ptʃuŋɛnɨ,ŋ ə̃ p t ʃ u ŋ ɛ n ɨ,,mephd2021,,,^ ŋ ə̃ p t ʃ u ŋ ɛ n ɨ $,default,
Spiti-53_fiftythree-1,,Spiti,53_fiftythree,ŋə̃btʃuŋəksum,ŋə̃btʃuŋəksum,ŋ ə̃ b t ʃ u ŋ ə k s u m,,mephd2021,,,^ ŋ ə̃ b t ʃ u ŋ ə ks u m $,default,
Spiti-54_fiftyfour-1,,Spiti,54_fiftyfour,ŋə̃ptʃunəʋdʒi,ŋə̃ptʃunəʋdʒi,ŋ ə̃ p t ʃ u n ə ʋ d ʒ i,,mephd2021,,,^ ŋ ə̃ p t ʃ u n ə ʋ d ʒ i $,default,
Spiti-55_fiftyfive-1,,Spiti,55_fiftyfive,ŋə̃ptʃuneŋã,ŋə̃ptʃuneŋã,ŋ ə̃ p t ʃ u n e ŋ ã,,mephd2021,,,^ ŋ ə̃ p t ʃ u n e ŋ ã $,default,
Spiti-56_fiftysix-1,,Spiti,56_fiftysix,ŋə̃ptʃuŋeruk,ŋə̃ptʃuŋeruk,ŋ ə̃ p t ʃ u ŋ e r u k,,mephd2021,,,^ ŋ ə̃ p t ʃ u ŋ e r u k $,default,
Spiti-57_fiftyseven-1,,Spiti,57_fiftyseven,ŋə̃ptʃuŋəbdʉn,ŋə̃ptʃuŋəbdʉn,ŋ ə̃ p t ʃ u ŋ ə b d ʉ n,,mephd2021,,,^ ŋ ə̃ p t ʃ u ŋ ə b d ʉ n $,default,
Spiti-58_fiftyeight-1,,Spiti,58_fiftyeight,ŋə̃ptʃuŋəbɡjɛ,ŋə̃ptʃuŋəbɡjɛ,ŋ ə̃ p t ʃ u ŋ ə b g j ɛ,,mephd2021,,,^ ŋ ə̃ p t ʃ u ŋ ə b ɡ j ɛ $,default,
Spiti-59_fiftynine-1,,Spiti,59_fiftynine,ŋə̃ptʃunərɡu,ŋə̃ptʃunərɡu,ŋ ə̃ p t ʃ u n ə r g u,,mephd2021,,,^ ŋ ə̃ p t ʃ u n ə r ɡ u $,default,
Spiti-60_sixty-1,,Spiti,60_sixty,ʈʰruktʃu,ʈʰruktʃu,ʈʰ r u k t ʃ u,,mephd2021,,,^ ʈʰ r u k t ʃ u $,default,
Spiti-61_sixtyone-1,,Spiti,61_sixtyone,ʈʰruktʃurɛʃik,ʈʰruktʃurɛʃik,ʈʰ r u k t ʃ u r ɛ ʃ i k,,mephd2021,,,^ ʈʰ r u k t ʃ u r ɛ ʃ i k $,default,
Spiti-62_sixtytwo-1,,Spiti,62_sixtytwo,ʈʰruktʃurɛnɨ,ʈʰruktʃurɛnɨ,ʈʰ r u k t ʃ u r ɛ n ɨ,,mephd2021,,,^ ʈʰ r u k t ʃ u r ɛ n ɨ $,default,
Spiti-63_sixtythree-1,,Spiti,63_sixtythree,ʈʰruktʃurəksum,ʈʰruktʃurəksum,ʈʰ r u k t ʃ u r ə k s u m,,mephd2021,,,^ ʈʰ r u k t ʃ u r ə ks u m $,default,
Spiti-64_sixtyfour-1,,Spiti,64_sixtyfour,ʈʰruktʃurəʋdʒi,ʈʰruktʃurəʋdʒi,ʈʰ r u k t ʃ u r ə ʋ d ʒ i,,mephd2021,,,^ ʈʰ r u k t ʃ u r ə ʋ d ʒ i $,default,
Spiti-65_sixtyfive-1,,Spiti,65_sixtyfive,ʈʰruktʃurɛŋã,ʈʰruktʃurɛŋã,ʈʰ r u k t ʃ u r ɛ ŋ ã,,mephd2021,,,^ ʈʰ r u k t ʃ u r ɛ ŋ ã $,default,
Spiti-66_sixtysix-1,,Spiti,66_sixtysix,ʈʰruktʃurɛruk,ʈʰruktʃurɛruk,ʈʰ r u k t ʃ u r ɛ r u k,,mephd2021,,,^ ʈʰ r u k t ʃ u r ɛ r u k $,default,
Spiti-67_sixtyseven-1,,Spiti,67_sixtyseven,ʈʰruktʃurəbdʉn,ʈʰruktʃurəbdʉn,ʈʰ r u k t ʃ u r ə b d ʉ n,,mephd2021,,,^ ʈʰ r u k t ʃ u r ə b d ʉ n $,default,
Spiti-68_sixtyeight-1,,Spiti,68_sixtyeight,ʈʰruktʃurəbɡjɛ,ʈʰruktʃurəbɡjɛ,ʈʰ r u k t ʃ u r ə b g j ɛ,,mephd2021,,,^ ʈʰ r u k t ʃ u r ə b ɡ j ɛ $,default,
Spiti-69_sixtynine-1,,Spiti,69_sixtynine,ʈʰruktʃurərɡu,ʈʰruktʃurərɡu,ʈʰ r u k t ʃ u r ə r g u,,mephd2021,,,^ ʈʰ r u k t ʃ u r ə r ɡ u $,default,
Spiti-70_seventy-1,,Spiti,70_seventy,dʉndzu,dʉndzu,d ʉ n d z u,,mephd2021,,,^ d ʉ n d z u $,default,
Spiti-71_seventyone-1,,Spiti,71_seventyone,dʉndzutaʃik,dʉndzutaʃik,d ʉ n d z u t a ʃ i k,,mephd2021,,,^ d ʉ n d z u t a ʃ i k $,default,
Spiti-72_seventytwo-1,,Spiti,72_seventytwo,dʉndzutanɨ,dʉndzutanɨ,d ʉ n d z u t a n ɨ,,mephd2021,,,^ d ʉ n d z u t a n ɨ $,default,
Spiti-73_seventythree-1,,Spiti,73_seventythree,dʉndzutɔksum,dʉndzutɔksum,d ʉ n d z u t ɔ k s u m,,mephd2021,,,^ d ʉ n d z u t ɔ ks u m $,default,
Spiti-74_seventyfour-1,,Spiti,74_seventyfour,dʉndzutɔdʒi,dʉndzutɔdʒi,d ʉ n d z u t ɔ d ʒ i,,mephd2021,,,^ d ʉ n d z u t ɔ d ʒ i $,default,
Spiti-75_seventyfive-1,,Spiti,75_seventyfive,dʉndzutɛŋã,dʉndzutɛŋã,d ʉ n d z u t ɛ ŋ ã,,mephd2021,,,^ d ʉ n d z u t ɛ ŋ ã $,default,
Spiti-76_seventysix-1,,Spiti,76_seventysix,dʉndzutɛruk,dʉndzutɛruk,d ʉ n d z u t ɛ r u k,,mephd2021,,,^ d ʉ n d z u t ɛ r u k $,default,
Spiti-77_seventyseven-1,,Spiti,77_seventyseven,dʉndzutɔbdʉn,dʉndzutɔbdʉn,d ʉ n d z u t ɔ b d ʉ n,,mephd2021,,,^ d ʉ n d z u t ɔ b d ʉ n $,default,
Spiti-78_seventyeight-1,,Spiti,78_seventyeight,dʉndzutɔbɡjɛ,dʉndzutɔbɡjɛ,d ʉ n d z u t ɔ b g j ɛ,,mephd2021,,,^ d ʉ n d z u t ɔ b ɡ j ɛ $,default,
Spiti-79_seventynine-1,,Spiti,79_seventynine,dʉndzutərɡu,dʉndzutərɡu,d ʉ n d z u t ə r g u,,mephd2021,,,^ d ʉ n d z u t ə r ɡ u $,default,
Spiti-80_eighty-1,,Spiti,80_eighty,ɡjətʃu,ɡjətʃu,g j ə t ʃ u,,mephd2021,,,^ ɡ j ə t ʃ u $,default,
Spiti-81_eightyone-1,,Spiti,81_eightyone,ɡjətʃukʰjəʃik,ɡjətʃukʰjəʃik,g j ə t ʃ u kʰ j ə ʃ i k,,mephd2021,,,^ ɡ j ə t ʃ u kʰ j ə ʃ i k $,default,
Spiti-82_eightytwo-1,,Spiti,82_eightytwo,ɡjətʃukʰɛnɨ,ɡjətʃukʰɛnɨ,g j ə t ʃ u kʰ ɛ n ɨ,,mephd2021,,,^ ɡ j ə t ʃ u kʰ ɛ n ɨ $,default,
Spiti-83_eightythree-1,,Spiti,83_eightythree,ɡjətʃukʰjəksum,ɡjətʃukʰjəksum,g j ə t ʃ u kʰ j ə k s u m,,mephd2021,,,^ ɡ j ə t ʃ u kʰ j ə ks u m $,default,
Spiti-84_eightyfour-1,,Spiti,84_eightyfour,ɡjətʃukʰjəudʒi,ɡjətʃukʰjəudʒi,g j ə t ʃ u kʰ j ə u d ʒ i,,mephd2021,,,^ ɡ j ə t ʃ u kʰ j ə u d ʒ i $,default,
Spiti-85_eightyfive-1,,Spiti,85_eightyfive,ɡjətʃukʰjeŋã,ɡjətʃukʰjeŋã,g j ə t ʃ u kʰ j e ŋ ã,,mephd2021,,,^ ɡ j ə t ʃ u kʰ j e ŋ ã $,default,
Spiti-86_eightysix-1,,Spiti,86_eightysix,ɡjətʃukʰeruk,ɡjətʃukʰeruk,g j ə t ʃ u kʰ e r u k,,mephd2021,,,^ ɡ j ə t ʃ u kʰ e r u k $,default,
Spiti-87_eightyseven-1,,Spiti,87_eightyseven,ɡjətʃuɡjebdʉn,ɡjətʃuɡjebdʉn,g j ə t ʃ u g j e b d ʉ n,,mephd2021,,,^ ɡ j ə t ʃ u ɡ j e b d ʉ n $,default,
Spiti-88_eightyeight-1,,Spiti,88_eightyeight,ɡjətʃuɡjəbɡjɛ,ɡjətʃuɡjəbɡjɛ,g j ə t ʃ u g j ə b g j ɛ,,mephd2021,,,^ ɡ j ə t ʃ u ɡ j ə b ɡ j ɛ $,default,
Spiti-89_eightynine-1,,Spiti,89_eightynine,ɡjətʃuɡərɡu,ɡjətʃuɡərɡu,g j ə t ʃ u g ə r g u,,mephd2021,,,^ ɡ j ə t ʃ u ɡ ə r ɡ u $,default,
Spiti-90_ninety-1,,Spiti,90_ninety,ɡuptʃu,ɡuptʃu,g u p t ʃ u,,mephd2021,,,^ ɡ u p t ʃ u $,default,
Spiti-91_ninetyone-1,,Spiti,91_ninetyone,ɡuptʃukɔʃik,ɡuptʃukɔʃik,g u p t ʃ u k ɔ ʃ i k,,mephd2021,,,^ ɡ u p t ʃ u k ɔ ʃ i k $,default,
Spiti-92_ninetytwo-1,,Spiti,92_ninetytwo,ɡuptʃukɔnɨ,ɡuptʃukɔnɨ,g u p t ʃ u k ɔ n ɨ,,mephd2021,,,^ ɡ u p t ʃ u k ɔ n ɨ $,default,
Spiti-93_ninetythree-1,,Spiti,93_ninetythree,ɡuptʃukɔksum,ɡuptʃukɔksum,g u p t ʃ u k ɔ k s u m,,mephd2021,,,^ ɡ u p t ʃ u k ɔ ks u m $,default,
Spiti-94_ninetyfour-1,,Spiti,94_ninetyfour,ɡuptʃukɔdʒi,ɡuptʃukɔdʒi,g u p t ʃ u k ɔ d ʒ i,,mephd2021,,,^ ɡ u p t ʃ u k ɔ d ʒ i $,default,
Spiti-95_ninetyfive-1,,Spiti,95_ninetyfive,ɡuptʃukɔŋã,ɡuptʃukɔŋã,g u p t ʃ u k ɔ ŋ ã,,mephd2021,,,^ ɡ u p t ʃ u k ɔ ŋ ã $,default,
Spiti-96_ninetysix-1,,Spiti,96_ninetysix,ɡuptʃukɛruk,ɡuptʃukɛruk,g u p t ʃ u k ɛ r u k,,mephd2021,,,^ ɡ u p t ʃ u k ɛ r u k $,default,
Spiti-97_ninetyseven-1,,Spiti,97_ninetyseven,ɡuptʃukjəbdʉn,ɡuptʃukjəbdʉn,g u p t ʃ u k j ə b d ʉ n,,mephd2021,,,^ ɡ u p t ʃ u k j ə b d ʉ n $,default,
Spiti-98_ninetyeight-1,,Spiti,98_ninetyeight,ɡuptʃukjəbɡjɛ,ɡuptʃukjəbɡjɛ,g u p t ʃ u k j ə b g j ɛ,,mephd2021,,,^ ɡ u p t ʃ u k j ə b ɡ j ɛ $,default,
Spiti-99_ninetynine-1,,Spiti,99_ninetynine,ɡuptʃukjərɡu,ɡuptʃukjərɡu,g u p t ʃ u k j ə r g u,,mephd2021,,,^ ɡ u p t ʃ u k j ə r ɡ u $,default,
Spiti-100_hundred-1,,Spiti,100_hundred,ɡjə,ɡjə,g j ə,,mephd2021,,,^ ɡ j ə $,default,
Spiti-1000_thousand-1,,Spiti,1000_thousand,toŋ,toŋ,t o ŋ,,mephd2021,,,^ t o ŋ $,default,
Spiti-100000_lakh-1,,Spiti,100000_lakh,cə,cə,c ə,,mephd2021,,,^ c ə $,default,
Spiti-100000_lakh-2,,Spiti,100000_lakh,ʈʰi cə,ʈʰi_cə,ʈʰ i + c ə,,mephd2021,,,^ ʈʰ i _ c ə $,default,
Spiti-10000000_crore-1,,Spiti,10000000_crore,bom cə,bom_cə,b o m + c ə,,mephd2021,,,^ b o m _ c ə $,default,
Spiti-100_onehundred-1,,Spiti,100_onehundred,ɡjə,ɡjə,g j ə,,mephd2021,,,^ ɡ j ə $,default,
Spiti-200_twohundred-1,,Spiti,200_twohundred,nɨbɡjə,nɨbɡjə,n ɨ b g j ə,,mephd2021,,,^ n ɨ b ɡ j ə $,default,
Spiti-300_threehundred-1,,Spiti,300_threehundred,sumɡjə,sumɡjə,s u m g j ə,,mephd2021,,,^ s u m ɡ j ə $,default,
Spiti-400_fourhundred-1,,Spiti,400_fourhundred,dʒibɡjə,dʒibɡjə,d ʒ i b g j ə,,mephd2021,,,^ d ʒ i b ɡ j ə $,default,
Spiti-500_fivehundred-1,,Spiti,500_fivehundred,ŋãbɡjə,ŋãbɡjə,ŋ ã b g j ə,,mephd2021,,,^ ŋ ã b ɡ j ə $,default,
Spiti-600_sixhundred-1,,Spiti,600_sixhundred,ʈʰrukɡjə,ʈʰrukɡjə,ʈʰ r u k g j ə,,mephd2021,,,^ ʈʰ r u k ɡ j ə $,default,
Spiti-1000_onethousand-1,,Spiti,1000_onethousand,toŋ tʃi,toŋ_tʃi,t o ŋ + t ʃ i,,mephd2021,,,^ t o ŋ _ t ʃ i $,default,
Spiti-2000_twothousand-1,,Spiti,2000_twothousand,toŋ nɨ,toŋ_nɨ,t o ŋ + n ɨ,,mephd2021,,,^ t o ŋ _ n ɨ $,default,
Spiti-3000_threethousand-1,,Spiti,3000_threethousand,toŋsum,toŋsum,t o ŋ s u m,,mephd2021,,,^ t o ŋ s u m $,default,
Spiti-4000_fourthousand-1,,Spiti,4000_fourthousand,toŋdʒi,toŋdʒi,t o ŋ d ʒ i,,mephd2021,,,^ t o ŋ d ʒ i $,default,
Spiti-5000_fivethousand-1,,Spiti,5000_fivethousand,toŋã,toŋã,t o ŋ ã,,mephd2021,,,^ t o ŋ ã $,default,
Spiti-6000_sixthousand-1,,Spiti,6000_sixthousand,toŋʈʰruk,toŋʈʰruk,t o ŋ ʈʰ r u k,,mephd2021,,,^ t o ŋ ʈʰ r u k $,default,
Spiti-221_twohundredtwentyone-1,,Spiti,221_twohundredtwentyone,nɨbɡjərəŋ nɨʃusɛtʃik,nɨbɡjərəŋ_nɨʃusɛtʃik,n ɨ b g j ə r ə ŋ + n ɨ ʃ u s ɛ t ʃ i k,,mephd2021,,,^ n ɨ b ɡ j ə r ə ŋ _ n ɨ ʃ u s ɛ t ʃ i k $,default,
Spiti-506_fivehundredsix-1,,Spiti,506_fivehundredsix,ŋãbɡjərəŋ ʈʰruk,ŋãbɡjərəŋ_ʈʰruk,ŋ ã b g j ə r ə ŋ + ʈʰ r u k,,mephd2021,,,^ ŋ ã b ɡ j ə r ə ŋ _ ʈʰ r u k $,default,
Spiti-3048_threethousandfortyeight-1,,Spiti,3048_threethousandfortyeight,toŋsumrəŋ dʒibtʃusəbɡjɛ,toŋsumrəŋ_dʒibtʃusəbɡjɛ,t o ŋ s u m r ə ŋ + d ʒ i b t ʃ u s ə b g j ɛ,,mephd2021,,,^ t o ŋ s u m r ə ŋ _ d ʒ i b t ʃ u s ə b ɡ j ɛ $,default,
Spiti-6900_sixthousandninehundred-1,,Spiti,6900_sixthousandninehundred,toŋʈʰruktəŋ ɡubɡjə,toŋʈʰruktəŋ_ɡubɡjə,t o ŋ ʈʰ r u k t ə ŋ + g u b g j ə,,mephd2021,,,^ t o ŋ ʈʰ r u k t ə ŋ _ ɡ u b ɡ j ə $,default,
Spiti-7422_seventhousandfourhundredtwentytwo-1,,Spiti,7422_seventhousandfourhundredtwentytwo,ɡjədʉnɟu tʰʋindʒirəŋ nɨʃusɛnɨ,ɡjədʉnɟu_tʰʋindʒirəŋ_nɨʃusɛnɨ,g j ə d ʉ n ɟ u + tʰ ʋ i n d ʒ i r ə ŋ + n ɨ ʃ u s ɛ n ɨ,,mephd2021,,,^ ɡ j ə d ʉ n ɟ u _ tʰ ʋ i n d ʒ i r ə ŋ _ n ɨ ʃ u s ɛ n ɨ $,default,
Spiti-6008_sixthousandeight-1,,Spiti,6008_sixthousandeight,toŋʈʰrukrəŋ ɡjɛ,toŋʈʰrukrəŋ_ɡjɛ,t o ŋ ʈʰ r u k r ə ŋ + g j ɛ,,mephd2021,,,^ t o ŋ ʈʰ r u k r ə ŋ _ ɡ j ɛ $,default,
Ladakhi-1_one-1,,Ladakhi,1_one,tʃik,tʃik,t ʃ i k,,mephd2021,,,^ t ʃ i k $,default,
Ladakhi-2_two-1,,Ladakhi,2_two,nis,nis,n i s,,mephd2021,,,^ n i s $,default,
Ladakhi-3_three-1,,Ladakhi,3_three,sum,sum,s u m,,mephd2021,,,^ s u m $,default,
Ladakhi-4_four-1,,Ladakhi,4_four,izbi,izbi,i z b i,,mephd2021,,,^ i z b i $,default,
Ladakhi-5_five-1,,Ladakhi,5_five,Gɑ,Gɑ,g ɑ,,mephd2021,,,^ G ɑ $,default,
Ladakhi-6_six-1,,Ladakhi,6_six,ʈuk,ʈuk,ʈ u k,,mephd2021,,,^ ʈ u k $,default,
Ladakhi-7_seven-1,,Ladakhi,7_seven,rdun,rdun,r d u n,,mephd2021,,,^ r d u n $,default,
Ladakhi-8_eight-1,,Ladakhi,8_eight,rɡjət,rɡjət,r g j ə t,,mephd2021,,,^ r ɡ j ə t $,default,
Ladakhi-9_nine-1,,Ladakhi,9_nine,rɡu,rɡu,r g u,,mephd2021,,,^ r ɡ u $,default,
Ladakhi-10_ten-1,,Ladakhi,10_ten,tʃu,tʃu,t ʃ u,,mephd2021,,,^ t ʃ u $,default,
Ladakhi-11_eleven-1,,Ladakhi,11_eleven,tʃukʃik,tʃukʃik,t ʃ u k ʃ i k,,mephd2021,,,^ t ʃ u kʃ i k $,default,
