ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,NumeralAnalysis
Spiti-1_one-1,,Spiti,1_one,tʃik,tʃik,t ʃ i k,,mephd2021,,,^ t ʃ i k $,default,
Spiti-2_two-1,,Spiti,2_two,nɨ,nɨ,n ɨ,,mephd2021,,,^ n ɨ $,default,
Spiti-3_three-1,,Spiti,3_three,sum,sum,s u m,,mephd2021,,,^ s u m $,default,
Spiti-4_four-1,,Spiti,4_four,dʒi,dʒi,d ʒ i,,mephd2021,,,^ d ʒ i $,default,
Spiti-5_five-1,,Spiti,5_five,ŋã,ŋã,ŋ ã,,mephd2021,,,^ ŋ ã $,default,
Spiti-6_six-1,,Spiti,6_six,ʈʰruk,ʈʰruk,ʈʰ r u k,,mephd2021,,,^ ʈʰ r u k $,default,
Spiti-7_seven-1,,Spiti,7_seven,dʉn,dʉn,d ʉ n,,mephd2021,,,^ d ʉ n $,default,
Spiti-8_eight-1,,Spiti,8_eight,ɡjɛ,ɡjɛ,g j ɛ,,mephd2021,,,^ ɡ j ɛ $,default,
Spiti-9_nine-1,,Spiti,9_nine,ɡu,ɡu,g u,,mephd2021,,,^ ɡ u $,default,
Spiti-10_ten-1,,Spiti,10_ten,tʃu,tʃu,t ʃ u,,mephd2021,,,^ t ʃ u $,default,
Spiti-11_eleven-1,,Spiti,11_eleven,tʃʋiʃik,tʃʋiʃik,t ʃ ʋ i ʃ i k,,mephd2021,,,^ t ʃ ʋ i ʃ i k $,default,
Spiti-12_twelve-1,,Spiti,12_twelve,tʃʋinɨ,tʃʋinɨ,t ʃ ʋ i n ɨ,,mephd2021,,,^ t ʃ ʋ i n ɨ $,default,
Spiti-13_thirteen-1,,Spiti,13_thirteen,tʃuksum,tʃuksum,t ʃ u k s u m,,mephd2021,,,^ t ʃ u ks u m $,default,
Spiti-14_fourteen-1,,Spiti,14_fourteen,tʃudʒi,tʃudʒi,t ʃ u d ʒ i,,mephd2021,,,^ t ʃ u d ʒ i $,default,
Spiti-15_fifteen-1,,Spiti,15_fifteen,tʃʋeŋã,tʃʋeŋã,t ʃ ʋ e ŋ ã,,mephd2021,,,^ t ʃ ʋ e ŋ ã $,default,
Spiti-16_sixteen-1,,Spiti,16_sixteen,tʃʋiruk,tʃʋiruk,t ʃ ʋ i r u k,,mephd2021,,,^ t ʃ ʋ i r u k $,default,
